Sous section ;Article;P,U
TRANSPORT;CAMION D'ENTRETIEN 18 T ISUZU FVR34P;1562,52
TRANSPORT;CAMION D'ENTRETIEN 18 T SITRAK 1AM;540,99
TRANSPORT;CAMION D'ENTRETIEN 7,5 T ISUZU NPR75K;880,62
TRANSPORT;CAMION D'ENTRETIEN 7,5 T IVECO ML180E28;880,62
TRANSPORT;CAMION GRUE 1T À 7,4 M ISUZU/PALFINGER NPR75L;2500
TRANSPORT;CAMION MALAXEUR 10 M³ MAN TGS 41.360;1048,21
TRANSPORT;CAMION MALAXEUR 10 M³ MERCEDES 3240;1048,21
TRANSPORT;CAMION MALAXEUR 10 M³ MERCEDES 3240B/45;1048,21
TRANSPORT;CAMION MALAXEUR 10 M³ MERCEDES 4141B;1048,21
TRANSPORT;CAMION MALAXEUR 10 M³ SINOTRUCK C7H-440;1048,21
TRANSPORT;CAMION MALAXEUR 12 M³ SCANIA P410B8X4HZ;1500
TRANSPORT;CAMION MALAXEUR 12 M³ SITRAK C7H-440;1500
TRANSPORT;CAMION MALAXEUR 14 M³ SITRAK C7H-440;1500
TRANSPORT;CAMION PLATEAU 18 T ISUZU FVR34P;650
TRANSPORT;CAMION PLATEAU 25 T MERCEDES 2040S;803,11
TRANSPORT;CAMION POMPE A BETON 36 M MAN TGA33 360;1861,55
TRANSPORT;CAMION POMPE A BETON 39 M MAN/SCHWING TGS 33360/SA 18.881;2700
TRANSPORT;CAMION POMPE A BETON 42 M CIFA PA1506/909;3591,08
TRANSPORT;CAMION POMPE A BETON 52 M MAN C7H 6x4;3592,38
TRANSPORT;CAMION POMPE A BETON 52 M MERCEDES AROCS 3343 6X4;3592,38
TRANSPORT;CAMION POMPE A BETON 52 M SITRAK C7-H (6X4);3592,38
TRANSPORT;CAMION POMPE A BETON 52 M SITRAK C7H 6X4;3592,38
TRANSPORT;CAMION SEMI BENNE 40 T SCANIA P4X200;866,5
TRANSPORT;CAMION SEMI BENNE STANDARD MERCEDES 2031S;866,5
TRANSPORT;CAMION SEMI BENNE STANDARD SCANIA R124GA4X2NZ360;866,5
TRANSPORT;CAMION SERVITUDE 19 T ISUZU FTR34P;571,05
TRANSPORT;CAMION SERVITUDE 3,5 T ISUZU NNR85H;280
TRANSPORT;CAMION SERVITUDE 7 T ISUZU FTR33M;320
TRANSPORT;CAMION SERVITUDE 7 T MERCEDES 1520;320
TRANSPORT;REMORQUE BENNE 22 M³ LOCAL BENNE STANDARD;310,17
TRANSPORT;REMORQUE CITERNE A CIMENT 28000 L SAITEK CC1202;100
TRANSPORT;VEHICULE PICK UP 1,5 T HYUNDAI H100;178,96
TRANSPORT;VEHICULE PICK UP 1,5 T MITSUBISHI L200 DC;178,96
TRANSPORT;VEHICULE PICK UP 1,5 T TOYOTA HILUX;178,96
TRANSPORT;VEHICULE PICK UP 1,5 T TOYOTA HILUX 2,4 D;178,96
TRANSPORT;VEHICULE PICK UP 1,5 T TOYOTA HILUX D4D 2,5 DOUBLE CABINE;178,96
TRANSPORT;VEHICULE PICK UP 1,5 T TOYOTA HILUX D4D 2500;178,96
TRANSPORT;VEHICULE PICK UP 1,5 T TOYOTA HILUX IMV1;178,96
TRANSPORT;VEHICULE PICK UP 3,5 T FORD TRANSIT;178,96
